"Date","Price","Open","High","Low","Vol.","Change %"
"10/21/1991","1,740.53","1,751.88","1,751.88","1,739.19","","-2.16%"
"10/18/1991","1,778.91","1,795.39","1,803.83","1,776.24","","0.31%"
"10/16/1991","1,773.47","1,745.76","1,779.04","1,745.76","","2.87%"
"10/15/1991","1,724.06","1,714.18","1,724.06","1,698.63","","-0.30%"
"10/14/1991","1,729.30","1,744.12","1,744.12","1,726.43","","-1.99%"
"10/11/1991","1,764.50","1,762.33","1,777.74","1,761.16","","0.68%"
"10/10/1991","1,752.50","1,742.33","1,752.50","1,732.04","","2.10%"
"10/09/1991","1,716.53","1,735.87","1,735.87","1,685.57","","-3.58%"
"10/07/1991","1,780.25","1,797.94","1,805.21","1,779.14","","0.40%"
"10/04/1991","1,773.15","1,789.63","1,802.41","1,771.47","","-2.34%"
"10/03/1991","1,815.62","1,834.03","1,834.03","1,813.91","","-2.30%"
"10/01/1991","1,858.45","1,872.69","1,872.69","1,850.91","","-1.42%"
"09/30/1991","1,885.28","1,895.96","1,916.77","1,885.28","","0.81%"
"09/27/1991","1,870.04","1,824.73","1,870.04","1,824.73","","4.65%"
"09/26/1991","1,786.92","1,823.07","1,823.07","1,784.36","","-1.74%"
"09/25/1991","1,818.52","1,817.95","1,837.68","1,817.72","","0.07%"
"09/24/1991","1,817.26","1,827.13","1,827.13","1,800.83","","-0.88%"
"09/20/1991","1,833.44","1,873.64","1,873.64","1,830.78","","-2.30%"
"09/18/1991","1,876.62","1,891.51","1,918.21","1,874.17","","-0.10%"
"09/17/1991","1,878.55","1,859.02","1,878.55","1,851.66","","-1.77%"
"09/16/1991","1,912.35","1,819.56","1,916.79","1,891.49","","2.72%"
"09/13/1991","1,861.74","1,819.64","1,861.74","1,818.54","","2.82%"
"09/10/1991","1,810.71","1,828.17","1,833.22","1,809.95","","-0.05%"
"09/06/1991","1,811.54","1,830.34","1,833.96","1,810.53","","0.07%"
"09/05/1991","1,810.21","1,810.21","1,810.21","1,810.21","","2.70%"
"09/04/1991","1,762.62","1,740.93","1,762.62","1,739.15","","-0.10%"
"09/03/1991","1,764.36","1,802.43","1,804.76","1,760.30","","-1.76%"
"08/30/1991","1,795.99","1,759.26","1,806.06","1,759.26","","-1.73%"
"08/28/1991","1,827.59","1,827.90","1,847.15","1,827.59","","0.77%"
"08/27/1991","1,813.68","1,805.17","1,818.15","1,795.98","","-1.69%"
"08/26/1991","1,844.82","1,849.41","1,861.94","1,841.02","","2.33%"
"08/23/1991","1,802.81","1,755.71","1,810.35","1,755.71","","2.88%"
"08/22/1991","1,752.30","1,768.18","1,777.91","1,752.30","","2.61%"
"08/21/1991","1,707.77","1,692.21","1,711.16","1,692.21","","-0.10%"
"08/20/1991","1,709.43","1,723.37","1,727.40","1,704.21","","-2.31%"
